field_1,X,Y
P00240,541003.976619809,5558857.67193256
P00336,606239.834166658,5653374.37349263
P00814,621935.32465715,5556158.04095673
P00867,640129.640984098,5574572.84356498
P00962,652852.147759879,5630027.49323472
P01270,637633.570175679,5649753.4238644
P01411,574275.978470324,5598185.72305346
P01435,631475.070682457,5606113.36867041
P01526,546267.15442859,5601856.94399379
P01573,567345.681839269,5618388.59509597
P01997,564901.389603685,5552578.86946297
P02066,546628.216462384,5620931.70732722
P02171,551935.479078759,5633615.14840674
P02503,581021.66198902,5608928.86416697
P02541,643942.41396741,5601389.13609153
P02597,576982.173850106,5564104.88177847
P02618,604213.635661578,5633721.53729149
P02680,602988.350942329,5571207.384274
P03204,632774.527548709,5621866.73079545
P03207,590818.943912377,5559385.23060273
P03220,633930.17257342,5579952.86517134
P03231,597537.329980127,5601935.85107317
P03248,651575.260833066,5584212.10645068
P03364,628143.452803886,5636737.19484328
P03513,651366.626546643,5596423.5985639
P03560,583746.942264554,5573081.92829703
P03572,650234.309162923,5576318.35518058
P03700,555070.589147328,5568503.17976973
P03836,586684.926849189,5589800.58684929
P03911,551289.828098311,5607541.66690581
P04218,627567.33506019,5577003.3636696
P04377,571383.963103916,5578227.9313165
P04469,624940.433190838,5596497.62731476
P04485,602619.284040193,5620252.57095497
P04501,625066.680145059,5612909.80519352
P04605,655091.207080771,5612544.78474264
P04752,655209.049983848,5582559.48534872
P04958,611735.762927934,5566679.31895386
P04978,572324.202417712,5610180.70443388
P05335,608889.923348401,5639435.0665955
P05371,566867.617213452,5594349.6824154
P06270,605878.165278464,5585267.97529096
P06272,588133.748846457,5633068.25344248
P07368,595574.708809097,5650785.69500574
P07428,628986.586978212,5586538.28454003
