;P03231;Interp;Outlier O0
2005-03-29 15:00:00;9.8;;
2005-04-18 12:00:00;9.4;;
2005-04-18 13:00:00;9.5;;
2005-07-27 23:00:00;12.1;;
2006-05-26 19:00:00;9.4;;
2006-06-25 22:00:00;9.8;;
2006-07-27 17:00:00;18.0;;
2006-07-27 18:00:00;8.6;;
2007-06-23 12:00:00;7.3;;
2007-07-09 01:00:00;7.3;;
2007-07-20 15:00:00;11.6;;
2007-07-22 02:00:00;6.5;;
2008-05-14 08:00:00;16.7;0.0;4.48
2008-05-31 18:00:00;69.3;;
2008-06-07 11:00:00;11.4;;
2008-07-03 14:00:00;16.15;;
2009-05-15 20:00:00;6.46;;
2009-05-15 21:00:00;9.86;;
2009-05-17 17:00:00;9.91;;
2009-07-23 21:00:00;16.55;;
2010-03-30 20:00:00;8.82;;
2010-08-12 14:00:00;11.43;;
2010-08-23 19:00:00;9.16;;
2010-08-27 00:00:00;10.27;;
2011-06-22 15:00:00;13.84;;
2011-08-06 18:00:00;19.15;;
2011-08-24 18:00:00;7.15;;
2011-09-04 20:00:00;7.37;;
2012-06-20 16:00:00;19.65;;
2012-06-20 17:00:00;14.37;;
2012-06-30 23:00:00;16.78;;
2012-08-22 02:00:00;13.94;;
2013-06-01 03:00:00;8.64;;
2013-06-09 12:00:00;28.55;;
2013-08-06 17:00:00;8.62;;
2013-09-09 01:00:00;7.9;;
2014-07-08 00:00:00;9.04;;
2014-07-08 07:00:00;12.56;;
2014-08-04 18:00:00;23.69;;
2014-08-04 19:00:00;15.74;;
2015-08-16 12:00:00;12.9;;
2015-08-16 13:00:00;15.47;;
2015-08-16 14:00:00;13.38;;
2015-08-16 15:00:00;16.2;;
